time,direction,entry,stop,tp,result,pnl,balance,type
2024-12-16 19:05:00,SELL,1.04746,1.05249,1.1391499999999999,WIN,3000,103000,BASE
2024-12-16 20:00:00,SELL,1.04746,1.05249,1.1391499999999999,WIN,3000,106000,BASE
2024-12-16 21:10:00,SELL,1.04746,1.05249,1.1391499999999999,WIN,3000,109000,BASE
2024-12-16 22:20:00,SELL,1.04746,1.05249,1.1391499999999999,WIN,3000,112000,BASE
2024-12-16 23:55:00,SELL,1.04746,1.05249,1.1391499999999999,WIN,3000,115000,BASE
2024-12-17 00:35:00,SELL,1.04746,1.05249,1.1391499999999999,WIN,3000,118000,BASE
