time,direction,entry,stop,tp,rr,result,pnl,balance
2024-12-16 20:00:00,SELL,1.04746,1.05249,1.1391499999999999,18.23,WIN,54685.88,154685.88
2024-12-16 21:10:00,SELL,1.04746,1.05249,1.1391499999999999,18.23,WIN,54685.88,209371.77
2024-12-16 22:20:00,SELL,1.04746,1.05249,1.1391499999999999,18.23,WIN,54685.88,264057.65
2024-12-16 23:55:00,SELL,1.04746,1.05249,1.1391499999999999,18.23,WIN,54685.88,318743.54
2024-12-17 00:35:00,SELL,1.04746,1.05249,1.1391499999999999,18.23,WIN,54685.88,373429.42
